id,name,value
5132,阿坝藏族羌族自治州,0
6529,阿克苏地区,0
1529,阿拉善盟,0
6543,阿勒泰地区,0
5425,阿里地区,0
6109,安康市,1
3408,安庆市,1
5204,安顺市,1
4105,安阳市,1
2103,鞍山市,1
8200,澳门,0
1508,巴彦淖尔市,1
6528,巴音郭楞蒙古自治州,0
5119,巴中市,1
2208,白城市,1
2206,白山市,1
6204,白银市,1
4510,百色市,1
3403,蚌埠市,1
1502,包头市,1
6103,宝鸡市,1
1306,保定市,2
5305,保山市,1
4505,北海市,1
2105,本溪市,1
5224,毕节地区,1
3716,滨州市,2
3416,亳州市,1
6527,博尔塔拉蒙古自治州,0
1309,沧州市,1
5421,昌都地区,1
6523,昌吉回族自治州,0
4307,常德市,1
3204,常州市,1
3414,巢湖市,1
2113,朝阳市,1
4451,潮州市,1
4310,郴州市,1
5101,成都市,5
1308,承德市,1
3417,池州市,1
1504,赤峰市,1
4514,崇左市,1
3411,滁州市,1
5323,楚雄彝族自治州,0
5117,达州市,2
5329,大理白族自治州,0
2102,大连市,3
2306,大庆市,1
1402,大同市,1
2327,大兴安岭地区,0
2106,丹东市,1
5331,德宏傣族景颇族自治州,0
5106,德阳市,2
3714,德州市,2
5334,迪庆藏族自治州,0
6211,定西市,1
4419,东莞市,3
3705,东营市,2
1506,鄂尔多斯市,1
4207,鄂州市,1
4228,恩施土家族苗族自治州,0
4506,防城港市,1
4406,佛山市,4
3501,福州市,3
2104,抚顺市,1
3610,抚州市,1
2109,阜新市,1
3412,阜阳市,1
6230,甘南藏族自治州,0
5133,甘孜藏族自治州,0
3607,赣州市,1
6404,固原市,1
5116,广安市,1
5108,广元市,1
4401,广州市,5
4508,贵港市,1
5201,贵阳市,1
4503,桂林市,1
6326,果洛藏族自治州,0
2301,哈尔滨市,2
6522,哈密地区,1
6322,海北藏族自治州,0
6321,海东地区,1
4601,海口市,1
6325,海南藏族自治州,0
6328,海西蒙古族藏族自治州,0
1304,邯郸市,1
6107,汉中市,1
3301,杭州市,5
3401,合肥市,4
6532,和田地区,0
4512,河池市,1
4416,河源市,1
3717,菏泽市,1
4511,贺州市,1
4106,鹤壁市,1
2304,鹤岗市,1
2311,黑河市,1
1311,衡水市,1
4304,衡阳市,1
5325,红河哈尼族彝族自治州,0
1501,呼和浩特市,1
1507,呼伦贝尔市,1
2114,葫芦岛市,1
3305,湖州市,2
4312,怀化市,1
3208,淮安市,1
3406,淮北市,1
3404,淮南市,1
4211,黄冈市,1
6323,黄南藏族自治州,0
3410,黄山市,1
4202,黄石市,1
4413,惠州市,2
2303,鸡西市,1
3608,吉安市,1
2202,吉林市,1
3701,济南市,3
3708,济宁市,2
2308,佳木斯市,1
3304,嘉兴市,3
6202,嘉峪关市,1
4407,江门市,2
4108,焦作市,1
4452,揭阳市,1
6203,金昌市,1
3307,金华市,2
2107,锦州市,1
1405,晋城市,1
1407,晋中市,1
4208,荆门市,1
4210,荆州市,1
3602,景德镇市,1
3604,九江市,1
6209,酒泉市,1
6531,喀什地区,0
4102,开封市,1
6502,克拉玛依市,1
6530,克孜勒苏柯尔克孜自治州,0
5301,昆明市,1
5401,拉萨市,1
4513,来宾市,1
3712,莱芜市,1
6201,兰州市,1
1310,廊坊市,1
5111,乐山市,1
5307,丽江市,1
3311,丽水市,1
3207,连云港市,1
5134,凉山彝族自治州,0
2110,辽阳市,1
2204,辽源市,1
3715,聊城市,2
5426,林芝地区,1
5309,临沧市,1
1410,临汾市,1
6229,临夏回族自治州,0
3713,临沂市,3
4502,柳州市,2
3415,六安市,1
5202,六盘水市,1
3508,龙岩市,1
6212,陇南市,1
4313,娄底市,1
5105,泸州市,1
4103,洛阳市,2
4111,漯河市,1
1411,吕梁市,1
3405,马鞍山市,1
4409,茂名市,1
5114,眉山市,1
4414,梅州市,1
5107,绵阳市,3
2310,牡丹江市,1
5424,那曲地区,1
3601,南昌市,2
5113,南充市,1
3201,南京市,4
4501,南宁市,1
3507,南平市,1
3206,南通市,3
4113,南阳市,1
