City,City_EN,GRP,Birth_Pop
北京市,Beijing,164220,153133
天津市,Tianjin,90371,106604
石家庄市,Shijiazhuang,52859,106688
唐山市,Tangshan,86667,65426
秦皇岛市,Qinhuangdao,51334,25112
邯郸市,Handan,36546,111974
邢台市,Xingtai,28707,88600
保定市,Baoding,31856,115870
张家口市,Zhangjiakou,35025,36469
承德市,Chengde,41080,33267
沧州市,Cangzhou,47663,79348
廊坊市,Langfang,65512,53778
衡水市,Hengshui,33599,38697
太原市,Taiyuan,90698,44550
大同市,Datong,38122,26096
阳泉市,Yangquan,50775,11801
长治市,Changzhi,47219,37225
晋城市,Jincheng,57714,20420
朔州市,Shuozhou,59552,19625
晋中市,Jinzhong,43125,33058
运城市,Yuncheng,29126,49326
忻州市,Xinzhou,31573,25980
临汾市,Linfen,32250,40898
吕梁市,Lvliang,38890,47629
呼和浩特市,Hohhot,89138,26110
包头市,Baotou,93835,18635
乌海市,Wuhai,97565,3702
赤峰市,Chifeng,39488,37398
通辽市,Tongliao,40410,20607
鄂尔多斯市,Erdos,173069,19651
呼伦贝尔市,Hulunbuir,47116,15380
巴彦淖尔市,Bayannur,51722,14535
乌兰察布市,Ulanqab,38622,19203
沈阳市,Shenyang,77777,62688
大连市,Dalian,99996,49818
鞍山市,Anshan,49123,20579
抚顺市,Fushun,41382,10742
本溪市,Benxi,46673,7556
丹东市,Dandong,32256,14265
锦州市,Jinzhou,35431,16723
营口市,Yingkou,54545,16226
阜新市,Fuxin,27945,10733
辽阳市,Liaoyang,45498,10228
盘锦市,Panjin,88983,10802
铁岭市,Tiding,24382,14765
朝阳市,Chaoyang,28761,25293
葫芦岛市,Huludao,31802,18322
长春市,Changchun,78456,57409
吉林市,Jilin,34335,23267
四平市,Siping,24979,17324
辽源市,Liaoyuan,35108,6301
通化市,Tonghua,33702,13106
白山市,Baishan,43744,4904
松原市,Songyuan,26559,15580
白城市,Baicheng,25980,9673
哈尔滨市,Harbin,55175,53692
齐齐哈尔市,Qiqihar,22667,21907
鸡西市,Jixi,32278,6604
鹤岗市,Hegang,33981,3910
双鸭山市,Shuangyashan,33857,5679
大庆市,Daqing,94289,14481
伊春市,Yichun,26384,3879
佳木斯市,Jiamusi,32788,10858
七台河市,Qitaihe,29912,3364
牡丹江市,Mudanjiang,32811,11154
黑河市,Heihe,36478,6205
绥化市,Suihua,21045,21871
上海市,Shanghai,157279,91350
南京市,Nanjing,165681,67572
无锡市,Wuxi,180044,37981
徐州市,Xuzhou,81138,106644
常州市,Changzhou,156390,29936
苏州市,Suzhou,179174,61916
南通市,Nantong,128294,44615
连云港市,Lianyungang,69523,52604
淮安市,Huai'an,78543,49227
盐城市,Yancheng,79149,59474
扬州市,Yangzhou,128856,31843
镇江市,Zhenjiang,128981,17960
泰州市,Taizhou,110731,35263
宿迁市,Suqian,62840,61649
杭州市,Hangzhou,152465,91450
宁波市,Ningbo,143157,49464
温州市,Wenzhou,71225,98779
嘉兴市,Jiaxing,112751,31322
湖州市,Huzhou,102593,23066
绍兴市,Shaoxing,114561,36049
金华市,Jinhua,81224,52031
衢州市,Quzhou,71087,23521
舟山市,Zhoushan,116781,5748
台州市,Taizhou,83555,55495
丽水市,Lishui,66936,29840
合肥市,Hefei,115623,103646
芜湖市,Wuhu,96154,36483
蚌埠市,Bengbu,60469,49830
淮南市,Huainan,37140,41351
马鞍山市,Maanshan,89867,20882
淮北市,Huaibei,47654,26479
铜陵市,Tongling,58726,15442
安庆市,Anqing,50574,57212
黄山市,Huangshan,57853,14448
滁州市,Chuzhou,70429,52169
阜阳市,Fuyang,32855,132530
宿州市,Suzhou,34773,78714
六安市,Lu'an,33370,61725
亳州市,Bozhou,33314,90032
池州市,Chizhou,56217,14205
宣城市,Xuancheng,58819,22933
福州市,Fuzhou,120879,91419
厦门市,Xiamen,142739,46235
莆田市,Putian,89342,57860
三明市,Sanming,100641,39769
泉州市,Quanzhou,114067,132347
漳州市,Zhangzhou,92075,73092
南平市,Nanping,74036,33343
龙岩市,Longyan,101476,47166
宁德市,Ningde,84251,57972
南昌市,Nanchang,100415,61497
景德镇市,Jingdezhen,55228,17789
萍乡市,Pingxiang,48007,18816
九江市,Jiujiang,63584,57539
新余市,Xinyu,81641,14088
鹰潭市,Yingtan,79883,14072
赣州市,Ganzhou,39968,116832
吉安市,Ji'an,42060,61162
宜春市,Yichun,48182,64318
